,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
23,Accelerated Education,Community Services,SAMSA-Noneducation (Substance Abuse Mental Health Services Adm),School ,152322.7270165,5.65,6
24,Accelerated Education,Community Services,Title I- Part A,Learning Support Services,-0.22,0.0,1
25,Accelerated Education,Community Services,Title I- Part A,Office of Planning and Community Relations,62823.996475600004,1.0,3
26,Accelerated Education,Community Services,Title I- Part A,"School, Family and Community Education",581573.2000555,12.4,16
27,Accelerated Education,Community Services,Title I- Part A,State/Federal Compliance & Accountability,2000.6299999999999,0.0,3
28,Accelerated Education,Community Services,Title III-B Homeless children,"School, Family and Community Education",158372.2287154,2.9,8
29,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Academy,2942.77,0.0,2
30,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Accountability,66736.7217252,0.64,1
31,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Baptist School,3749.88,0.0,1
32,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Bilingual / ESL,13299.210000000001,0.0,3
33,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Capitol School,-0.22,0.0,1
34,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Catholic High School,1380.77,0.0,1
35,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Child Development Ctr.,726.75,0.0,1
36,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Christian Academy,1381.93,0.0,1
37,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Core Curriculum,269786.5212149,3.5,4
38,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",County Day School,691.52,0.0,1
39,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",County Detention Center,846.81,0.0,1
40,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Educator Quality ,479712.79364419996,2.5,9
41,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Elementary,1620.74,0.0,1
42,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Home for Children,793.73,0.0,1
43,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Human Resources,224999.09,0.0,1
44,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Leadership Academy,781.18,0.0,1
45,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Lifeworks Shelter,691.07,0.0,1
46,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Lutheran School,3446.01,0.0,1
47,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Montessori School,2196.93,0.0,1
48,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",School,22716.53,0.0,13
49,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",School ,66545.5911457,1.0,1
50,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Schools Academy,691.04,0.0,1
51,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Science and Health,17604.2920539,0.25,1
52,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Settlement Club-DBA- Settlement Home,1291.49,0.0,2
53,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Social Emotional Learning,306038.8824828,4.0,5
54,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",State/Federal Compliance & Accountability,126555.57,0.0,10
55,Accelerated Education,Curriculum & Instructional Staff Development,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",,1249.12,0.0,1
56,Accelerated Education,Curriculum & Instructional Staff Development,English Literacy Civics,School ,1.108,0.0,2
57,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Accountability,44652.2314586,1.0,1
58,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-Area ,8389.06844109,0.0,7
59,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-Area  Elementary ,10108.2755095,0.0,6
60,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-High Schools,279163.64,0.0,4
61,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Bilingual / ESL,34024.474626,0.5,1
62,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,College Readiness,4369.16380436,0.0,2
63,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Core Curriculum,98869.94058653,1.0,5
64,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,County Day School,546.419225545,0.0,1
65,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Early Childhood,391.730642393,0.0,2
66,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Educator Quality ,4564.2300000000005,0.0,2
67,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,English,56645.7553698,0.75,2
68,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Math,90556.7919864,1.0,3
69,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Prekindergarten Demonstration School,-0.47,0.0,1
70,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Primary Center,62551.877353699994,1.0,2
71,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Program ABC,8591.878756350001,0.0,3
72,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,School ,702871.3234811471,10.76,45
73,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,School Turnaround Initiative,3769.546048942,0.05,3
74,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,"School, Family and Community Education",13078.131278,0.0,1
75,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Science and Health,136871.04915467,1.5,5
76,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Social Emotional Learning,7926.47197786,0.0,5
77,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Social Studies,155951.907274,1.75,4
78,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Special Education,2372.802875767,0.0,7
79,Accelerated Education,Curriculum & Instructional Staff Development,General Fund,Summer School,134290.64225194,0.0,13
80,Accelerated Education,Curriculum & Instructional Staff Development,"High School Allotment,  (Effective ",School ,1723.13,0.0,1
81,Accelerated Education,Curriculum & Instructional Staff Development,Literacy Initiative (Effective ,School ,380118.6206664,6.5,13
82,Accelerated Education,Curriculum & Instructional Staff Development,Teacher Incentive Grant (TIF) Effective  ,Educator Quality ,270545.0525874,3.0,4
83,Accelerated Education,Curriculum & Instructional Staff Development,Teacher Incentive Grant (TIF) Effective  ,Elementary (Pre-K),69217.70769570001,1.0,1
84,Accelerated Education,Curriculum & Instructional Staff Development,Teacher Incentive Grant (TIF) Effective  ,School ,3254124.2795464,54.0,54
85,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Assoc Superintendent-Area ,157744.26778139998,2.0,4
86,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Assoc Superintendent-Area  Elementary ,498968.01021449995,6.0,10
87,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Assoc Superintendent-High Schools,239704.8195971,3.0,5
88,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Bilingual / ESL,-0.05,0.0,1
89,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Core Curriculum,114297.8921535,1.5,2
90,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Educator Development,-0.10000000000000009,0.0,4
91,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,School Turnaround Initiative,68845.0240354,0.95,1
92,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Special Programs,1801207.9323014,2.0,14
93,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,State/Federal Compliance & Accountability,154798.16,0.0,5
94,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part A,Summer School,39812.35,0.0,1
95,Accelerated Education,Curriculum & Instructional Staff Development,Title I- Part D ,State/Federal Compliance & Accountability,0.18,0.0,5
96,Accelerated Education,Curriculum Development And Instructional Staff Dev, Regional Collaboratives,School ,541.558861867,0.0,4
97,Accelerated Education,Curriculum Development And Instructional Staff Dev, Regional Collaboratives,Undistributed,15581.015354800998,0.0,18
98,Accelerated Education,Curriculum Development And Instructional Staff Dev,"""Title  Part A Improving Basic Programs""",School ,62958.352809123004,0.0,71
99,Accelerated Education,Curriculum Development And Instructional Staff Dev,"""Title  Part A Improving Basic Programs""",Summer School,3753.78,0.0,1
100,Accelerated Education,Curriculum Development And Instructional Staff Dev,"""Title  Part A Improving Basic Programs""",Undistributed,1536054.770154285,0.0,127
101,Accelerated Education,Curriculum Development And Instructional Staff Dev,Esea Title Ii Part A Teacher & Principal Training,School ,233259.7282215631,0.0,453
102,Accelerated Education,Curriculum Development And Instructional Staff Dev,Esea Title Ii Part A Teacher & Principal Training,Undistributed,270464.055259447,0.0,52
103,Accelerated Education,Curriculum Development And Instructional Staff Dev,General Operating Fund,School ,4764.6029068964,0.0,23
104,Accelerated Education,Curriculum Development And Instructional Staff Dev,General Operating Fund,Undistributed,11200.22,0.0,1
105,Accelerated Education,Curriculum Development And Instructional Staff Dev,Intensive Reading Instruction Initiative Grant,School ,13154.581950791,0.0,11
106,Accelerated Education,Curriculum Development And Instructional Staff Dev,Lower Strands Prj.,School ,26530.495600661,0.0,64
107,Accelerated Education,"Guidance, Counseling and Evaluation Services", Century Community Learning,Community Education-South,70123.9274949,1.1333,5
108,Accelerated Education,"Guidance, Counseling and Evaluation Services",A Foundation  (effective ,Social Emotional Learning,14801.7793789,0.25,1
109,Accelerated Education,"Guidance, Counseling and Evaluation Services",Community Ed-City,Community Education-South,5835.70066386,0.0833,1
110,Accelerated Education,"Guidance, Counseling and Evaluation Services",Community Ed-County,Community Education-South,4678.43097245,0.08,1
111,Accelerated Education,"Guidance, Counseling and Evaluation Services","ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Office of Program Evaluation,52183.079723300005,0.5941,2
112,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,College Readiness,1999.76,0.0,1
113,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Guidance & Counseling,51026.07622662,0.1,3
114,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Leadership Academy,61081.0406742,1.0,1
115,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Learning Support Services,1698954.49522909,26.0,87
116,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Office of Program Evaluation,25253.8877361,0.25,1
117,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Prekindergarten Demonstration School,55684.9109193,1.0,1
118,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Primary Center,29220.6376749,0.5,1
119,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,School ,4559523.396187262,71.6,187
120,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,"School, Family and Community Education",43318.5289986,0.0,4
121,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Special Ed Evaluation Services,89192.181025728,2.5,7
122,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Special Education,65576.1381676,1.0,1
123,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,Summer School,30741.37279519,0.0,3
124,Accelerated Education,"Guidance, Counseling and Evaluation Services",General Fund,,199.66,0.0,1
125,Accelerated Education,"Guidance, Counseling and Evaluation Services",Safe School/Healthy Students Grant - effective ,Office of Program Evaluation,115811.82258850001,1.5,2
126,Accelerated Education,"Guidance, Counseling and Evaluation Services",Teacher Incentive Grant (TIF) Effective  ,Office of Program Evaluation,80196.59075830001,1.1,2
127,Accelerated Education,"Guidance, Counseling and Evaluation Services",Title I- Part A,Office of Program Evaluation,188794.12474477003,2.5441,11
128,Accelerated Education,"Guidance, Counseling and Evaluation Services",Title I- Part A,Special Education,30119.8118928,0.5,1
129,Accelerated Education,"Guidance, Counseling and Evaluation Services",Title I- Part D ,County Day School,0.08,0.0,1
130,Accelerated Education,"Guidance, Counseling and Evaluation Services",Title I- Part D ,Office of Program Evaluation,12463.1890377,0.1176,1
131,Accelerated Education,Instruction, Virtual School Network Receiver,School ,1174.1899180052,0.0,3
132,Accelerated Education,Instruction,"""Title  Part A Improving Basic Programs""",School ,678985.3479543441,7.79,96
133,Accelerated Education,Instruction,"""Title  Part A Improving Basic Programs""",Undistributed,616978.17,0.0,7
134,Accelerated Education,Instruction,"""Title  Part C - Migrant""",Undistributed,449.14,0.0,1
135,Accelerated Education,Instruction,Algebra Readiness,School ,111016.9683014,2.0,2
136,Accelerated Education,Instruction,Basic Skills Programs For High School Students / H,School ,-0.58,0.0,1
137,Accelerated Education,Instruction,Capital Fund For Educ Inc.,"School, Family and Community Education",27807.9398783,0.4,1
138,Accelerated Education,Instruction,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",State/Federal Compliance & Accountability,741255.99,0.0,2
139,Accelerated Education,Instruction,Energy,School ,91086.2353314,2.0,2
140,Accelerated Education,Instruction,Esea Title Ii Part A Teacher & Principal Training,School ,1787728.54177497,29.54,155
141,Accelerated Education,Instruction,General Fund,Assoc Superintendent-Area ,1176571.3770399,0.0,6
142,Accelerated Education,Instruction,General Fund,Assoc Superintendent-High Schools,108837.4915763,0.0,3
143,Accelerated Education,Instruction,General Fund,Bilingual / ESL,5151.62,0.0,1
144,Accelerated Education,Instruction,General Fund,College Readiness,592327.1515229,0.0,8
145,Accelerated Education,Instruction,General Fund,County Day School,62575.315561186,1.0,8
146,Accelerated Education,Instruction,General Fund,County Detention Center,303772.14785308205,5.0,14
147,Accelerated Education,Instruction,General Fund,Early Childhood Center,122937.86995789,3.0,5
148,Accelerated Education,Instruction,General Fund,Elementary (Pre-K),-0.51,0.0,1
149,Accelerated Education,Instruction,General Fund,English,34617.14183,0.5,2
150,Accelerated Education,Instruction,General Fund,Graduation Pathways,1031730.16,0.0,2
151,Accelerated Education,Instruction,General Fund,Homebound,278525.41832212004,5.0,9
152,Accelerated Education,Instruction,General Fund,Hospital,78645.04893573599,1.0,4
153,Accelerated Education,Instruction,General Fund,House,112701.5196704,2.0,5
154,Accelerated Education,Instruction,General Fund,Human Resources and Information Systems,148049.35816600002,0.0,1
155,Accelerated Education,Instruction,General Fund,Leadership Academy,446504.267986431,8.0,16
156,Accelerated Education,Instruction,General Fund,Learning Support Services,766870.149458026,1.0,6
157,Accelerated Education,Instruction,General Fund,Prekindergarten Demonstration School,281562.65926348,4.0,11
158,Accelerated Education,Instruction,General Fund,Primary Center,125969.468851,0.0,1
159,Accelerated Education,Instruction,General Fund,Program ABC,726689.2309998972,5.0,14
160,Accelerated Education,Instruction,General Fund,Response to Intervention,246062.29,0.0,1
161,Accelerated Education,Instruction,General Fund,School ,14008942.079028782,226.388,642
162,Accelerated Education,Instruction,General Fund,School 6-12,1084475.61,0.0,1
163,Accelerated Education,Instruction,General Fund,School K-5,1807460.45,0.0,1
164,Accelerated Education,Instruction,General Fund,School Turnaround Initiative,410543.808198165,0.0,8
165,Accelerated Education,Instruction,General Fund,"School, Family and Community Education",518500.37231749005,0.0,12
166,Accelerated Education,Instruction,General Fund,Science and Health,235102.7463525,0.0,5
167,Accelerated Education,Instruction,General Fund,Social Studies,-0.83,0.0,1
168,Accelerated Education,Instruction,General Fund,Special Education AH/VH,-0.67,0.0,1
169,Accelerated Education,Instruction,General Fund,Summer School,3453082.56809907,0.0,42
170,Accelerated Education,Instruction,General Fund,Work Projects,1781421.96,0.0,2
171,Accelerated Education,Instruction,General Fund,,220593.87312528,1.55,6
172,Accelerated Education,Instruction,General Operating Fund,School ,1324.6511382485,0.0,17
173,Accelerated Education,Instruction,Grant (Effective ,School ,67115.8803806,1.0,2
174,Accelerated Education,Instruction,High School Completion & Success Grant (Effective ,School ,124778.0731914,2.0,2
175,Accelerated Education,Instruction,Intensive Reading Instruction Initiative Grant,School ,13254.550000000001,0.0,4
176,Accelerated Education,Instruction,Intensive Reading Instruction Initiative Grant,Summer School,34222.908830765,0.0,30
177,Accelerated Education,Instruction,Literacy Initiative (Effective ,School ,752919.46466846,13.01,21
178,Accelerated Education,Instruction,Lower Strands Prj.,School ,117880.05,0.0,38
179,Accelerated Education,Instruction,Title I- Part A,Assoc Superintendent-Area  Elementary ,56644.4285457,1.0,1
180,Accelerated Education,Instruction,Title I- Part A,Assoc Superintendent-High Schools,0.78,0.0,1
181,Accelerated Education,Instruction,Title I- Part A,School Turnaround Initiative,-0.18,0.0,1
182,Accelerated Education,Instruction,Title I- Part A,State/Federal Compliance & Accountability,5067162.4799999995,0.0,6
183,Accelerated Education,Instruction,Title I- Part A,Summer School,808005.076,0.0,2
184,Accelerated Education,Instruction,Title I- Part D ,County Day School,18476.780000000002,0.0,2
185,Accelerated Education,Instruction,Title I- Part D ,County Detention Center,113239.13,0.0,1
186,Accelerated Education,Instruction,Title I- Part D ,House,24435.97,0.0,1
187,Accelerated Education,Instruction,Title I- Part D ,Leadership Academy,35760.020000000004,0.0,2
188,Accelerated Education,Instruction,Title I- Part D ,State/Federal Compliance & Accountability,47227.369999999995,0.0,5
189,Accelerated Education,Instruction,Title I- Part D ,Youth Commission,9536.07,0.0,1
190,Accelerated Education,Instructional Leadership, Regional Collaboratives,Unallocated,2534.3400000000006,0.0,2
191,Accelerated Education,Instructional Leadership, Virtual School Network Receiver,Unallocated,160.73,0.0,1
192,Accelerated Education,Instructional Leadership,"""Title  Part A Improving Basic Programs""",Unallocated,370717.383155834,4.59,38
193,Accelerated Education,Instructional Leadership,"""Title  Part A Improving Basic Programs""",Undistributed,1219.68,0.0,1
194,Accelerated Education,Instructional Leadership,"""Title  Part C - Migrant""",Unallocated,1400.24,0.0,3
195,Accelerated Education,Instructional Leadership,"""Title  Part C - Migrant""",Undistributed,188.82000000000002,0.0,2
196,Accelerated Education,Instructional Leadership,A Foundation  (effective ,Social Emotional Learning,106925.14398999998,1.4,2
197,Accelerated Education,Instructional Leadership,Apprenticeship,Early Childhood,40767.7391778,0.5,1
198,Accelerated Education,Instructional Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Assoc Superintendent-Area  Elementary ,73415.8284525,1.6,2
199,Accelerated Education,Instructional Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Campus and District Accountability,40184.6416928,0.5,1
200,Accelerated Education,Instructional Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Educator Quality ,-1.53,0.0,1
201,Accelerated Education,Instructional Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",State/Federal Compliance & Accountability,85414.79673967,1.0,12
202,Accelerated Education,Instructional Leadership,Esea Title Ii Part A Teacher & Principal Training,Unallocated,135499.827778829,1.0,21
203,Accelerated Education,Instructional Leadership,General Fund,Assoc Superintendent-Area ,609617.5949731,1.0,2
204,Accelerated Education,Instructional Leadership,General Fund,College Readiness,6297.22,0.0,2
205,Accelerated Education,Instructional Leadership,General Fund,Early Childhood,-0.13,0.0,1
206,Accelerated Education,Instructional Leadership,General Fund,English,524.490856523,0.0,1
207,Accelerated Education,Instructional Leadership,General Fund,Learning Support Services,49488.749934,1.0,2
208,Accelerated Education,Instructional Leadership,General Fund,School Turnaround Initiative,130729.98422293001,1.625,13
209,Accelerated Education,Instructional Leadership,General Fund,"School, Family and Community Education",268196.33452572,3.0,9
210,Accelerated Education,Instructional Leadership,General Fund,Secondary Blue Print and High School Redesign Office,480.46411847999997,0.0,2
211,Accelerated Education,Instructional Leadership,General Fund,Special Education,-0.26,0.0,1
212,Accelerated Education,Instructional Leadership,General Fund,State/Federal Compliance & Accountability,852136.0235327,0.0,8
213,Accelerated Education,Instructional Leadership,General Fund,Summer School,59356.606756,0.0,6
214,Accelerated Education,Instructional Leadership,Literacy Initiative (Effective ,Early Childhood,153577.4156414,2.0,2
215,Accelerated Education,Instructional Leadership,Literacy Initiative (Effective ,English,387852.5907584999,5.0,7
216,Accelerated Education,Instructional Leadership,Social Emotional Learning (SEL) Beginning ,Social Emotional Learning,188597.5702814,2.0,6
217,Accelerated Education,Instructional Leadership,Title I- Part A,Assoc Superintendent-Area ,174336.7633714,2.0,2
218,Accelerated Education,Instructional Leadership,Title I- Part A,Bilingual / ESL,88397.2370398,0.86,2
219,Accelerated Education,Instructional Leadership,Title I- Part A,Campus and District Accountability,40186.88169280001,0.5,2
220,Accelerated Education,Instructional Leadership,Title I- Part A,Core Curriculum,-0.58,0.0,1
221,Accelerated Education,Instructional Leadership,Title I- Part A,Early Childhood,29632.7777978,0.5,1
222,Accelerated Education,Instructional Leadership,Title I- Part A,State/Federal Compliance & Accountability,1241959.48550082,7.4041,52
223,Accelerated Education,Instructional Leadership,Title I- Part D ,State/Federal Compliance & Accountability,73462.35598955001,1.95,12
224,Accelerated Education,Other, Century Community Learning,School ,48640.94,0.0,24
225,Accelerated Education,Other,"""Title  Part A ARRA",Administration - No Description Provided,-0.10000000000000009,0.0,4
226,Accelerated Education,Other,"""Title  Part A Improving Basic Programs""",Administration - No Description Provided,234974.97278772068,4.86,52
227,Accelerated Education,Other,"""Title  Part A Improving Basic Programs""",Undistributed,9925.69,0.0,1
228,Accelerated Education,Other,"""Title  Part C - Migrant""",Administration - No Description Provided,2902.748157782402,0.05,32
229,Accelerated Education,Other,"""Title  Part C - Migrant""",School ,14778.07,0.0,34
230,Accelerated Education,Other,"""Title  Part C - Migrant""",Undistributed,25826.42,0.0,1
231,Accelerated Education,Other,"""Title II, Part D",Administration - No Description Provided,-0.73,0.0,4
232,Accelerated Education,Other,Apprenticeship,Community Education-South,38813.9114083,0.67,1
233,Accelerated Education,Other,Capital Fund For Educ Inc.,"School, Family and Community Education",68418.0840657,1.0,1
234,Accelerated Education,Other,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Educational Support Services,51658.6402357,1.0,2
235,Accelerated Education,Other,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Human Resources,236772.6376714,2.0,14
236,Accelerated Education,Other,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",Management Info System,71462.9972757,1.0,1
237,Accelerated Education,Other,Esea Title Ii Part A Teacher & Principal Training,Administration - No Description Provided,14749.426495327201,0.18,11
238,Accelerated Education,Other,Esea Title Ii Part A Teacher & Principal Training,Undistributed,299.79,0.0,1
239,Accelerated Education,Other,General Fund,Assoc Superintendent-High Schools,499999.93,0.0,2
240,Accelerated Education,Other,General Fund,Budget,32772.5735327,0.0,1
241,Accelerated Education,Other,General Fund,Educational Support Services,390735.957395446,2.0,26
242,Accelerated Education,Other,General Fund,Health Services,3115201.75,0.0,1
243,Accelerated Education,Other,General Fund,Learning Support Services,2209162.252948362,26.2,104
244,Accelerated Education,Other,General Fund,Library Media Center,0.26,0.0,1
245,Accelerated Education,Other,General Fund,Management Info System,69849.09454935999,1.0,3
246,Accelerated Education,Other,General Fund,Prekindergarten Demonstration School,55800.456539,1.0,2
247,Accelerated Education,Other,General Fund,Program ABC,80649.95795566999,1.0,3
248,Accelerated Education,Other,General Fund,School ,780481.740097695,16.0,78
249,Accelerated Education,Other,General Fund,"School, Family and Community Education",405583.395357602,4.83,16
250,Accelerated Education,Other,General Fund,Summer School,38887.09643526,0.0,12
251,Accelerated Education,Other,Intensive Reading Instruction Initiative Grant,Administration - No Description Provided,75.6,0.0,2
252,Accelerated Education,Other,Safe School/Healthy Students Grant - effective ,Educational Support Services,118547.171856,1.0,1
253,Accelerated Education,Other,Safe School/Healthy Students Grant - effective ,Learning Support Services,40909.8743943,0.4,1
254,Accelerated Education,Other,Title I- Part A,Health Services,46034.950514519995,1.25,3
255,Accelerated Education,Other,Title I- Part A,Human Resources,51887.2623956,1.0,9
256,Accelerated Education,Other,Title I- Part A,Learning Support Services,0.86,0.0,1
257,Accelerated Education,Other,Title I- Part A,Office of Planning and Community Relations,160432.87972120004,2.0,6
258,Accelerated Education,Other,Title I- Part A,"School, Family and Community Education",57448.0375957,1.0,1
259,Accelerated Education,Other,Title I- Part A,State/Federal Compliance & Accountability,713282.1316751001,0.2,4
260,Accelerated Education,Other,Title I- Part D ,County Day School,-0.09,0.0,1
261,Accelerated Education,Other,Title I- Part D ,County Detention Center,0.19,0.0,1
262,Accelerated Education,Other,Title I- Part D ,House,-0.2,0.0,1
263,Accelerated Education,Other,Title I- Part D ,Leadership Academy,-0.93,0.0,1
264,Accelerated Education,Other,Title I- Part D ,State/Federal Compliance & Accountability,53121.1767005,0.8,1
265,Accelerated Education,Other,Title Ii Part D Subpart  Enhancing Education Thro,Administration - No Description Provided,-0.82,0.0,5
